id,component,material_category,design_code,design_name,finish,texture,color_family,application
1,Wardrobe Finish,Laminate,INT-10001,Light Oak Wardrobe Finish Style 1,High Gloss,Concrete,Light Oak,Kitchen
2,Wardrobe Panel,Panel,INT-10002,Walnut Wardrobe Panel Style 2,Satin,Fabric,Walnut,Bedroom
3,Kitchen Cabinet,Laminate,INT-10003,Mahogany Kitchen Cabinet Style 3,Satin,Stone,Mahogany,Living Room
4,Wall Paint,Paint,INT-10004,Navy Wall Paint Style 4,High Gloss,Stone,Navy,Living Room
5,Sofa Fabric,Fabric,INT-10005,Green Sofa Fabric Style 5,Textured,Smooth,Green,Bedroom
6,Sofa Fabric,Fabric,INT-10006,White Sofa Fabric Style 6,Polished,Smooth,White,Living Room
7,Glass Partition,Glass,INT-10007,Grey Glass Partition Style 7,High Gloss,Linear,Grey,Bathroom
8,Decor Panel,Panel,INT-10008,Mahogany Decor Panel Style 8,Polished,Marble,Mahogany,Office
9,Glass Partition,Glass,INT-10009,White Glass Partition Style 9,Satin,Pattern,White,Kitchen
10,Wood Flooring,Wood,INT-10010,Grey Wood Flooring Style 10,Satin,Fabric,Grey,Bathroom
11,Kitchen Cabinet,Laminate,INT-10011,Beige Kitchen Cabinet Style 11,Textured,Marble,Beige,Kitchen
12,Marble Flooring,Marble,INT-10012,White Marble Flooring Style 12,Polished,Linear,White,Lobby
13,Wallpaper,Wallpaper,INT-10013,Ivory Wallpaper Style 13,Polished,Concrete,Ivory,Bathroom
14,Glass Partition,Glass,INT-10014,Green Glass Partition Style 14,Polished,Fabric,Green,Living Room
15,Wardrobe Panel,Panel,INT-10015,Charcoal Wardrobe Panel Style 15,High Gloss,Fabric,Charcoal,Bedroom
16,Wood Flooring,Wood,INT-10016,Olive Wood Flooring Style 16,Natural,Marble,Olive,Office
17,Glass Partition,Glass,INT-10017,Navy Glass Partition Style 17,High Gloss,Marble,Navy,Lobby
18,Wall Paint,Paint,INT-10018,Teak Wall Paint Style 18,Matte,Concrete,Teak,Office
19,Ceiling Panel,Panel,INT-10019,Light Oak Ceiling Panel Style 19,High Gloss,Marble,Light Oak,Living Room
20,Marble Flooring,Marble,INT-10020,Blue Marble Flooring Style 20,Gloss,Linear,Blue,Living Room
21,Kitchen Cabinet,Laminate,INT-10021,Oak Kitchen Cabinet Style 21,High Gloss,Linear,Oak,Bathroom
22,Glass Partition,Glass,INT-10022,Teak Glass Partition Style 22,Polished,Stone,Teak,Dining
23,TV Unit Panel,Panel,INT-10023,Beige TV Unit Panel Style 23,High Gloss,Linear,Beige,Lobby
24,Ceiling Panel,Panel,INT-10024,Sand Ceiling Panel Style 24,Textured,Stone,Sand,Dining
25,Marble Flooring,Marble,INT-10025,Yellow Marble Flooring Style 25,Satin,Concrete,Yellow,Dining
26,Table Surface,Wood,INT-10026,Red Table Surface Style 26,Satin,Woodgrain,Red,Lobby
27,Floor Tile,Tile,INT-10027,Mahogany Floor Tile Style 27,High Gloss,Concrete,Mahogany,Lobby
28,Kitchen Cabinet,Laminate,INT-10028,Blue Kitchen Cabinet Style 28,Satin,Woodgrain,Blue,Office
29,False Ceiling,Gypsum,INT-10029,Mustard False Ceiling Style 29,Natural,Concrete,Mustard,Lobby
30,Table Surface,Wood,INT-10030,Navy Table Surface Style 30,Natural,Marble,Navy,Lobby
31,Decor Panel,Panel,INT-10031,Red Decor Panel Style 31,High Gloss,Smooth,Red,Lobby
32,Wall Paint,Paint,INT-10032,Yellow Wall Paint Style 32,Polished,Concrete,Yellow,Dining
33,TV Unit Panel,Panel,INT-10033,Mahogany TV Unit Panel Style 33,Natural,Linear,Mahogany,Bedroom
34,Kitchen Countertop,Stone,INT-10034,Black Kitchen Countertop Style 34,Textured,Stone,Black,Kitchen
35,Floor Tile,Tile,INT-10035,Walnut Floor Tile Style 35,Satin,Fabric,Walnut,Bedroom
36,Table Surface,Wood,INT-10036,Mustard Table Surface Style 36,Matte,Fabric,Mustard,Living Room
37,Floor Tile,Tile,INT-10037,Ivory Floor Tile Style 37,Satin,Smooth,Ivory,Living Room
38,Kitchen Countertop,Stone,INT-10038,Blue Kitchen Countertop Style 38,Polished,Concrete,Blue,Bathroom
39,Wood Flooring,Wood,INT-10039,Oak Wood Flooring Style 39,Polished,Pattern,Oak,Office
40,Marble Flooring,Marble,INT-10040,Sand Marble Flooring Style 40,Polished,Fabric,Sand,Bedroom
41,Wardrobe Panel,Panel,INT-10041,Beige Wardrobe Panel Style 41,Textured,Pattern,Beige,Dining
42,Wardrobe Panel,Panel,INT-10042,Ivory Wardrobe Panel Style 42,Polished,Smooth,Ivory,Kitchen
43,Wall Panel,Panel,INT-10043,Black Wall Panel Style 43,Gloss,Smooth,Black,Dining
44,Wardrobe Panel,Panel,INT-10044,Green Wardrobe Panel Style 44,Satin,Pattern,Green,Kitchen
45,Wall Paint,Paint,INT-10045,Black Wall Paint Style 45,Textured,Pattern,Black,Dining
46,Wardrobe Panel,Panel,INT-10046,Olive Wardrobe Panel Style 46,Satin,Woodgrain,Olive,Kitchen
47,Glass Partition,Glass,INT-10047,Teak Glass Partition Style 47,Satin,Marble,Teak,Kitchen
48,Floor Tile,Tile,INT-10048,Blue Floor Tile Style 48,Natural,Marble,Blue,Kitchen
49,Wall Panel,Panel,INT-10049,Mustard Wall Panel Style 49,Textured,Smooth,Mustard,Lobby
50,Chair Fabric,Fabric,INT-10050,White Chair Fabric Style 50,Polished,Smooth,White,Dining
51,TV Unit Panel,Panel,INT-10051,Charcoal TV Unit Panel Style 51,Natural,Stone,Charcoal,Living Room
52,Wardrobe Panel,Panel,INT-10052,Light Oak Wardrobe Panel Style 52,Gloss,Fabric,Light Oak,Bedroom
53,Ceiling Panel,Panel,INT-10053,Cream Ceiling Panel Style 53,High Gloss,Woodgrain,Cream,Kitchen
54,Wardrobe Panel,Panel,INT-10054,Navy Wardrobe Panel Style 54,Gloss,Smooth,Navy,Bedroom
55,Kitchen Countertop,Stone,INT-10055,Mustard Kitchen Countertop Style 55,Gloss,Fabric,Mustard,Dining
56,Table Surface,Wood,INT-10056,Yellow Table Surface Style 56,Textured,Concrete,Yellow,Living Room
57,Wall Panel,Panel,INT-10057,Red Wall Panel Style 57,High Gloss,Marble,Red,Bathroom
58,Wardrobe Finish,Laminate,INT-10058,Blue Wardrobe Finish Style 58,Textured,Marble,Blue,Office
59,Kitchen Countertop,Stone,INT-10059,Beige Kitchen Countertop Style 59,Gloss,Pattern,Beige,Office
60,Floor Tile,Tile,INT-10060,Sand Floor Tile Style 60,Gloss,Pattern,Sand,Bedroom
61,Wall Panel,Panel,INT-10061,Mustard Wall Panel Style 61,High Gloss,Concrete,Mustard,Dining
62,TV Unit Panel,Panel,INT-10062,Mustard TV Unit Panel Style 62,High Gloss,Fabric,Mustard,Dining
63,Kitchen Cabinet,Laminate,INT-10063,Mustard Kitchen Cabinet Style 63,Polished,Marble,Mustard,Office
64,Wardrobe Finish,Laminate,INT-10064,Red Wardrobe Finish Style 64,Polished,Linear,Red,Dining
65,Sofa Fabric,Fabric,INT-10065,Walnut Sofa Fabric Style 65,Polished,Pattern,Walnut,Kitchen
66,Wallpaper,Wallpaper,INT-10066,White Wallpaper Style 66,Polished,Linear,White,Living Room
67,Wall Paint,Paint,INT-10067,Terracotta Wall Paint Style 67,Gloss,Linear,Terracotta,Bathroom
68,Marble Flooring,Marble,INT-10068,Walnut Marble Flooring Style 68,High Gloss,Woodgrain,Walnut,Lobby
69,Glass Partition,Glass,INT-10069,Mustard Glass Partition Style 69,Matte,Concrete,Mustard,Kitchen
70,Marble Flooring,Marble,INT-10070,Teak Marble Flooring Style 70,Polished,Fabric,Teak,Office
71,Kitchen Cabinet,Laminate,INT-10071,Charcoal Kitchen Cabinet Style 71,Textured,Stone,Charcoal,Lobby
72,Glass Partition,Glass,INT-10072,Yellow Glass Partition Style 72,Textured,Fabric,Yellow,Living Room
73,Wall Panel,Panel,INT-10073,Green Wall Panel Style 73,Matte,Marble,Green,Living Room
74,Wardrobe Panel,Panel,INT-10074,Mustard Wardrobe Panel Style 74,Natural,Stone,Mustard,Bathroom
75,Sofa Fabric,Fabric,INT-10075,Olive Sofa Fabric Style 75,Natural,Woodgrain,Olive,Bedroom
76,Kitchen Countertop,Stone,INT-10076,Blue Kitchen Countertop Style 76,Satin,Concrete,Blue,Bedroom
77,False Ceiling,Gypsum,INT-10077,Teak False Ceiling Style 77,Natural,Linear,Teak,Bedroom
